City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
76,Binzhou,37.3667,118.0167,69.22,41,0,13.94,CN,2022-06-07 11:50:19
77,Manokwari,-0.8667,134.0833,80.13,78,99,3.22,ID,2022-06-07 11:50:19
78,Kodiak,57.79,-152.4072,49.51,81,100,3.44,US,2022-06-07 11:50:19
79,Necochea,-38.5473,-58.7368,49.95,64,100,8.55,AR,2022-06-07 11:50:20
80,Antalaha,-14.9003,50.2788,77.67,69,60,13.22,MG,2022-06-07 11:50:20
81,Phan Thiet,10.9333,108.1,81.7,82,90,6.73,VN,2022-06-07 11:50:21
82,Bluff,-46.6,168.3333,51.8,76,14,16.28,NZ,2022-06-07 11:50:21
83,Hobart,-42.8794,147.3294,41.05,88,75,12.66,AU,2022-06-07 11:50:21
84,Aste,45.7906,11.0961,72.19,93,99,5.68,IT,2022-06-07 11:50:21
85,Marshall,34.3834,-86.3333,74.07,92,75,8.05,US,2022-06-07 11:49:16
86,Windhoek,-22.5594,17.0832,70.0,26,0,9.22,NA,2022-06-07 11:50:22
87,Mulanje,-16.0316,35.5,59.36,99,100,5.1,MW,2022-06-07 11:50:22
88,Beringovskiy,63.05,179.3167,37.0,91,94,1.81,RU,2022-06-07 11:50:22
89,Hithadhoo,-0.6,73.0833,83.55,66,91,2.59,MV,2022-06-07 11:50:23
90,Rocky Mount,35.9382,-77.7905,71.31,94,0,0.0,US,2022-06-07 11:50:23
91,Byron Bay,-28.65,153.6167,54.95,63,51,13.18,AU,2022-06-07 11:46:50
92,Eyl,7.9803,49.8164,93.54,39,100,28.83,SO,2022-06-07 11:51:24
93,Klaksvik,62.2266,-6.589,52.72,73,96,12.44,FO,2022-06-07 11:51:24
94,Torbay,47.6666,-52.7314,45.28,90,100,12.66,CA,2022-06-07 11:51:25
95,Marsabit,2.3284,37.9899,72.36,45,95,12.68,KE,2022-06-07 11:51:25
96,Acapulco,16.8634,-99.8901,78.37,85,100,4.85,MX,2022-06-07 11:51:25
97,Chuy,-33.6971,-53.4616,52.81,86,7,2.24,UY,2022-06-07 11:51:26
98,Mahebourg,-20.4081,57.7,76.24,88,40,12.66,MU,2022-06-07 11:47:14
99,Frunze,48.6686,38.7544,71.87,56,66,7.72,UA,2022-06-07 11:51:26
100,Nelson Bay,-32.7167,152.15,54.09,68,4,3.0,AU,2022-06-07 11:51:26
101,Macusani,-14.0833,-70.4333,34.39,76,62,1.88,PE,2022-06-07 11:51:27
102,Talkha,31.0539,31.3779,96.12,21,0,18.1,EG,2022-06-07 11:51:27
103,Flinders,-34.5833,150.8552,52.18,67,23,8.99,AU,2022-06-07 11:51:27
104,Kameno,42.5667,27.3,71.89,75,40,12.66,BG,2022-06-07 11:51:28
105,Stromness,58.965,-3.296,55.36,79,69,8.01,GB,2022-06-07 11:51:28
106,Biak,-0.9131,122.8766,77.14,86,94,5.12,ID,2022-06-07 11:51:28
107,Erdenet,49.0333,104.0833,43.27,79,94,8.03,MN,2022-06-07 11:51:29
108,Wajima,37.4,136.9,61.65,85,99,12.15,JP,2022-06-07 11:51:29
109,Taoudenni,22.6783,-3.9836,112.1,8,11,18.97,ML,2022-06-07 11:51:30
110,Punta Arenas,-53.15,-70.9167,41.02,70,0,13.8,CL,2022-06-07 11:50:26
111,Kavieng,-2.5744,150.7967,81.43,77,63,11.32,PG,2022-06-07 11:51:31
112,Upernavik,72.7868,-56.1549,30.81,74,81,5.06,GL,2022-06-07 11:51:31
113,Qaanaaq,77.484,-69.3632,29.01,93,94,1.59,GL,2022-06-07 11:51:31
114,Jasper,37.2001,-94.3502,73.02,95,0,1.01,US,2022-06-07 11:46:44
115,Mao,39.8885,4.2658,81.16,47,0,14.97,ES,2022-06-07 11:51:32
116,Metro,-5.1131,105.3067,77.41,87,94,5.7,ID,2022-06-07 11:51:32
117,Sinnar,13.5691,33.5672,97.66,29,63,17.07,SD,2022-06-07 11:51:32
118,Port Elizabeth,-33.918,25.5701,79.09,34,0,5.75,ZA,2022-06-07 11:51:19
119,Yerofey Pavlovich,53.9667,121.9667,68.43,47,78,4.03,RU,2022-06-07 11:51:33
120,Vardo,70.3705,31.1107,42.78,81,75,11.5,NO,2022-06-07 11:51:33
121,Ribeira Grande,38.5167,-28.7,66.6,94,75,16.11,PT,2022-06-07 11:51:34
122,Beckley,37.7782,-81.1882,62.49,95,100,7.7,US,2022-06-07 11:51:34
123,Igrim,63.1906,64.4162,66.56,28,4,7.78,RU,2022-06-07 11:51:34
124,Bethel,41.3712,-73.414,67.5,68,0,1.01,US,2022-06-07 11:51:35
125,Te Anau,-45.4167,167.7167,45.57,89,61,4.72,NZ,2022-06-07 11:51:35
126,Cayenne,4.9333,-52.3333,79.09,1,40,2.3,GF,2022-06-07 11:51:35
127,Victoria,22.2855,114.1577,84.38,91,100,11.01,HK,2022-06-07 11:46:49
128,San Patricio,28.017,-97.5169,82.29,74,84,12.97,US,2022-06-07 11:51:36
129,Saravan,39.7196,45.6483,76.01,27,42,12.06,AM,2022-06-07 11:51:36
130,Nome,64.5011,-165.4064,55.47,54,0,3.44,US,2022-06-07 11:51:37
131,Jalna,19.8333,75.8833,101.84,19,70,14.38,IN,2022-06-07 11:51:37
132,Sault Sainte Marie,46.5168,-84.3333,48.76,96,100,16.11,CA,2022-06-07 11:46:51
133,Port Hawkesbury,45.6169,-61.3485,58.89,85,0,9.22,CA,2022-06-07 11:51:38
134,Mali,12.079,-12.2982,75.6,44,60,3.04,GN,2022-06-07 11:52:38
135,Shelburne,44.0787,-80.2041,61.75,96,100,10.98,CA,2022-06-07 11:49:29
136,Krasnoselkup,65.7,82.4667,47.35,71,100,12.01,RU,2022-06-07 11:52:38
137,Saint-Philippe,-21.3585,55.7679,78.39,77,91,10.74,RE,2022-06-07 11:52:39
138,Jamestown,42.097,-79.2353,63.99,74,100,10.36,US,2022-06-07 11:52:39
139,Rundu,-17.9333,19.7667,74.91,22,0,10.96,NA,2022-06-07 11:52:39
140,Rancho Palos Verdes,33.7445,-118.387,65.55,94,93,5.01,US,2022-06-07 11:51:12
141,Hellin,38.5106,-1.701,90.37,15,41,0.31,ES,2022-06-07 11:52:40
142,Bol,13.4586,14.7147,84.07,48,6,11.25,TD,2022-06-07 11:52:40
143,Kawalu,-7.3817,108.2082,73.9,93,78,2.89,ID,2022-06-07 11:52:40
144,Puerto Ayora,-0.7393,-90.3518,71.01,87,100,6.49,EC,2022-06-07 11:51:17
145,Narsaq,60.9167,-46.05,44.98,71,95,4.54,GL,2022-06-07 11:52:41
146,Verkhnyaya Inta,65.9811,60.3094,70.12,25,24,3.4,RU,2022-06-07 11:52:41
147,Pombia,45.653,8.6336,80.4,56,20,8.05,IT,2022-06-07 11:52:41
148,Esperance,-33.8667,121.9,53.49,69,58,8.5,AU,2022-06-07 11:52:42
149,Taltal,-25.4,-70.4833,60.35,77,3,0.87,CL,2022-06-07 11:52:42
150,Bredasdorp,-34.5322,20.0403,82.51,18,10,6.2,ZA,2022-06-07 11:52:43
151,Chardara,41.2547,67.9692,91.08,18,0,5.59,KZ,2022-06-07 11:52:43
152,Lagoa,39.05,-27.9833,65.16,89,97,27.47,PT,2022-06-07 11:52:43
153,Christchurch,-43.5333,172.6333,55.42,57,50,4.61,NZ,2022-06-07 11:49:54
154,Ippy,6.2679,21.2247,88.32,48,74,4.72,CF,2022-06-07 11:52:44
155,Lebu,-37.6167,-73.65,53.67,97,100,10.71,CL,2022-06-07 11:48:06
156,Moyale,3.5167,39.0584,69.57,62,96,12.86,KE,2022-06-07 11:52:44
157,Maraa,-1.8333,-65.3667,73.42,93,92,3.36,BR,2022-06-07 11:52:44
