City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
683,Inyonga,TZ,-6.7167,32.0667,69.21,51,99,5.17,overcast clouds
684,Khatanga,RU,71.9667,102.5,40.14,77,100,8.32,overcast clouds
685,Rikitea,PF,-23.1203,-134.9692,74.97,70,100,14.03,overcast clouds
686,Ancud,CL,-41.8697,-73.8203,47.73,62,75,5.95,broken clouds
687,Sibolga,ID,1.7427,98.7792,75.06,90,100,3.71,overcast clouds
688,Cape Town,ZA,-33.9258,18.4232,66.38,45,0,3.0,clear sky
689,Cape Town,ZA,-33.9258,18.4232,66.38,45,0,3.0,clear sky
690,Te Anau,NZ,-45.4167,167.7167,37.0,95,100,4.14,light rain
691,Taksimo,RU,56.3444,114.8794,54.7,82,53,2.75,broken clouds
692,Butaritari,KI,3.0707,172.7902,82.11,74,95,13.87,light rain
693,Amudat,UG,1.95,34.95,72.55,60,94,3.36,overcast clouds
694,Kahului,US,20.8947,-156.47,80.62,68,20,18.41,few clouds
695,Jiamusi,CN,46.8333,130.35,52.92,76,0,1.48,clear sky
696,Upernavik,GL,72.7868,-56.1549,31.86,77,17,10.36,few clouds
697,Hermanus,ZA,-34.4187,19.2345,64.94,40,33,9.33,scattered clouds
698,Provideniya,RU,64.3833,-173.3,47.64,35,100,8.86,overcast clouds
699,Torbay,CA,47.6666,-52.7314,62.28,96,100,14.97,light rain
700,Sale,MA,34.0389,-6.8166,85.64,73,75,5.75,broken clouds
701,Punta Arenas,CL,-53.15,-70.9167,41.11,70,75,18.41,broken clouds
702,Bredasdorp,ZA,-34.5322,20.0403,58.68,51,100,3.71,overcast clouds
703,Thinadhoo,MV,0.5333,72.9333,84.24,70,100,9.53,overcast clouds
704,Juneau,US,58.3019,-134.4197,57.22,82,75,11.5,broken clouds
705,New Norfolk,AU,-42.7826,147.0587,45.9,86,100,5.99,overcast clouds
706,Hermanus,ZA,-34.4187,19.2345,64.94,40,33,9.33,scattered clouds
707,Mataura,NZ,-46.1927,168.8643,39.47,96,100,1.97,moderate rain
708,Albany,US,42.6001,-73.9662,74.03,49,6,1.01,clear sky
709,Kruisfontein,ZA,-34.0033,24.7314,59.49,46,0,7.16,clear sky
710,Punta Arenas,CL,-53.15,-70.9167,41.11,70,75,18.41,broken clouds
711,Flinders,AU,-34.5833,150.8552,51.06,74,3,10.6,clear sky
712,Griffith,US,41.5284,-87.4237,80.53,38,40,9.22,scattered clouds
713,Vaini,TO,-21.2,-175.2,69.96,94,75,4.61,broken clouds
714,Hermanus,ZA,-34.4187,19.2345,64.94,40,33,9.33,scattered clouds
715,Avarua,CK,-21.2078,-159.775,75.25,60,72,5.75,broken clouds
716,Hobart,AU,-42.8794,147.3294,46.26,85,100,18.41,light rain
717,Rikitea,PF,-23.1203,-134.9692,74.97,70,100,14.03,overcast clouds
718,Codrington,AU,-38.2667,141.9667,51.64,66,100,15.5,overcast clouds
719,Ojinaga,MX,29.5667,-104.4167,101.57,30,0,5.75,clear sky
720,Katsuura,JP,35.1333,140.3,68.14,84,100,7.02,overcast clouds
721,Cidreira,BR,-30.1811,-50.2056,55.42,64,58,20.42,broken clouds
722,Kodiak,US,57.79,-152.4072,56.71,67,0,5.75,clear sky
723,Namibe,AO,-15.1961,12.1522,71.83,68,0,3.09,clear sky
724,Port Alfred,ZA,-33.5906,26.891,58.17,87,0,11.39,clear sky
725,San Policarpo,PH,12.1791,125.5072,77.58,89,100,7.92,light rain
726,Sayyan,YE,15.1718,44.3244,69.66,21,92,4.76,overcast clouds
727,Talas,TR,38.6908,35.5538,72.27,49,75,6.91,broken clouds
728,Iqaluit,CA,63.7506,-68.5145,51.53,57,20,16.11,few clouds
729,Xining,CN,36.6167,101.7667,53.85,62,32,2.01,scattered clouds
730,Castro,BR,-24.7911,-50.0119,60.17,84,100,5.66,overcast clouds
731,Carnarvon,AU,-24.8667,113.6333,69.78,71,1,8.37,clear sky
732,Busselton,AU,-33.65,115.3333,63.14,89,94,20.71,light rain
733,Mataura,NZ,-46.1927,168.8643,39.47,96,100,1.97,moderate rain
734,Linkoping,SE,58.4109,15.6216,61.99,71,100,11.5,overcast clouds
735,Maltahohe,NA,-24.8333,16.9833,57.45,22,2,10.38,clear sky
736,Ejido,VE,8.5514,-71.2375,75.47,77,100,4.0,overcast clouds
737,Almaznyy,RU,48.0448,40.045,65.25,57,0,3.56,clear sky
738,Hobart,AU,-42.8794,147.3294,46.26,85,100,18.41,light rain
739,Takoradi,GH,4.8845,-1.7554,77.43,87,100,7.63,light rain
740,Busselton,AU,-33.65,115.3333,63.14,89,94,20.71,light rain
741,Codrington,AU,-38.2667,141.9667,51.64,66,100,15.5,overcast clouds
742,Kassala,SD,15.451,36.4,94.26,34,93,5.75,overcast clouds
743,Ritchie,ZA,-29.038,24.6028,47.41,36,0,7.67,clear sky
