City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
727,Talas,TR,72.27,broken clouds,38.6908,35.5538,Fimaj Residence
731,Carnarvon,AU,69.78,clear sky,-24.8667,113.6333,Hospitality Carnarvon
736,Ejido,VE,75.47,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
737,Almaznyy,RU,65.25,clear sky,48.0448,40.045,
739,Takoradi,GH,77.43,light rain,4.8845,-1.7554,Raybow International Hotel
745,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
750,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
756,Sola,VU,81.09,overcast clouds,-13.8833,167.55,Leumerus Bungalows
760,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
761,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
762,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
765,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
769,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
770,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
772,Katsuura,JP,68.14,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
774,Grand Gaube,MU,70.2,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
775,Mayumba,GA,74.52,clear sky,-3.432,10.6554,LIKWALE LODGE
782,Cinnaminson,US,81.93,clear sky,39.9968,-74.9927,Sleep Inn Cinnaminson - Philadelphia East
784,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
785,Port Blair,IN,80.64,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
788,Pisco,PE,67.01,haze,-13.7,-76.2167,Hotel San Isidro Oficial
790,Namibe,AO,71.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
791,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
793,Bara,NG,86.4,clear sky,10.3744,10.7288,
794,Fortuna,US,79.92,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
795,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
796,Totness,SR,81.39,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
798,Salamanca,ES,86.76,overcast clouds,40.8333,-6.0,Palacio Carrascalino
802,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
804,Puerto Ayora,EC,80.56,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
805,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
806,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
809,Miram Shah,PK,83.73,clear sky,33.0086,70.0697,Bachelor Hostel
810,Jamestown,US,70.05,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
811,Tura,IN,72.5,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
812,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
817,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
818,Bheramara,BD,83.25,overcast clouds,24.0232,88.9925,Govt Guest House (Dac Banglo)
821,Puerto Ayora,EC,80.56,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
823,Isangel,VU,75.96,broken clouds,-19.55,169.2667,Tanna Lodge
824,Aksarayskiy,RU,75.13,clear sky,46.7924,48.0119,
827,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
835,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
836,Kaputa,ZM,68.25,few clouds,-8.4689,29.6619,Chelelwa Charlets
838,Jinchang,CN,66.99,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
842,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
844,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
846,Manokwari,ID,77.56,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
847,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
850,Cape Town,ZA,66.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
852,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
853,Albany,US,74.03,clear sky,42.6001,-73.9662,
855,Jalu,LY,86.58,clear sky,29.0331,21.5482,صاحبة الفخامة
858,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
